Morphology_R,Morphology_H,Production_H,Production_R,UR,SR,simplify_delete_obstruent,simplify_delete_lateral,tensify,nasalize,lateralize,Type,notes
ilk-nxn,읽는,일는,il.nxn,lk-n,ln,1,0,0,0,0,lC+Sonorant,
kxlk-nxn,긁는,긍는,kxN.nxn,lk-n,Nn,0,1,0,1,0,lC+Sonorant,
palp-nxntanxn,밟는다는,밤는다는,pam.nxn.ta.nxn,lp-n,mn,0,1,0,1,0,lC+Sonorant,
ilk-nxnte,읽는데,잉는데,iN.nxn.te,lk-n,Nn,0,1,0,1,0,lC+Sonorant,
ilk-nxn,읽는,잉는,iN.nxn,lk-n,Nn,0,1,0,1,0,lC+Sonorant,
ilk-nxntako,읽는다고,일는다고,il.nxn.ta.ko,lk-n,ln,1,0,0,0,0,lC+Sonorant,
talm-nxntako,닮는다고,달믄다고,tal.mxn.ta.ko,lm-n,lm,1,0,0,0,0,lC+Sonorant,
palp-nxn,밟는,밟는,palp.nxn,lp-n,lpn,0,0,0,0,0,lC+Sonorant,
ilk-nxn,읽는,읽는,ilk.nxn,lk-n,lkn,0,0,0,0,0,lC+Sonorant,
talm-nxn,닮는,담는,tam.nxn,lm-n,mn,0,1,0,0,0,lC+Sonorant,
palp-nxn,밟는,밟는,palp.nxn,lp-n,lpn,0,0,0,0,0,lC+Sonorant,
palp-nxn,밟는,밞는,palm.nxn,lp-n,lmn,0,0,0,1,0,lC+Sonorant,
nxlk-nxntacanha,늙는다잖아,능는다자나,nxN.nxn.ta.ca.na,lk-n,Nn,0,1,0,1,0,lC+Sonorant,
ilk-nxnte,읽는데,잉는데,iN.nxn.te,lk-n,Nn,0,1,0,1,0,lC+Sonorant,
talm-nxntamyvnsv,닮는다면서,담는다면서,tam.nxn.ta.myvn.sv,lm-n,mn,0,1,0,0,0,lC+Sonorant,
Jalp-nyako,짧냐고,짭냐고,Jap.nya.ko,lp-n,pn,0,1,0,0,0,lC+Sonorant,
kxlk-nxnte,긁는데,글ㅇ는데,kxl.kweh gweh nweh tweh dweh lweh mweh pweh bweh sweh Sweh weh cweh Jweh Cweh Kweh Tweh Pweh hweh.nxn.te,lk-n,lNn,0,0,0,1,0,lC+Sonorant,"The ㅇ in Production_H represents engma; the romanization in Production_R is weird, because my romanization codes could not process this standalone ㅇ. (But there is no other way to represent this in Hangul...)"
palp-nxn,밟는,밟는,palp.nxn,lp-n,lpn,0,0,0,0,0,lC+Sonorant,
salm-nxn,삶는,쌈는,Sam.nxn,lm-n,mn,0,1,0,0,0,lC+Sonorant,
talm-nxn,닮는,담는,tam.nxn,lm-n,mn,0,1,0,0,0,lC+Sonorant,
nxlk-nxntanxn,늙는다는,능는다는,nxN.nxn.ta.nxn,lk-n,Nn,0,1,0,1,0,lC+Sonorant,
nxlk-nxnta,늙는다,능는다,nxN.nxn.ta,lk-n,Nn,0,1,0,1,0,lC+Sonorant,
nxlk-nxntani,늙는다니,능는다니,nxN.nxn.ta.ni,lk-n,Nn,0,1,0,1,0,lC+Sonorant,
ilk-nxn,읽는,잉는,iN.nxn,lk-n,Nn,0,1,0,1,0,lC+Sonorant,
nxlk-nxn,늙는,늘ㅇ는,nxl.kweh gweh nweh tweh dweh lweh mweh pweh bweh sweh Sweh weh cweh Jweh Cweh Kweh Tweh Pweh hweh.nxn,lk-n,lNn,0,0,0,1,0,lC+Sonorant,"The ㅇ in Production_H represents engma; the romanization in Production_R is weird, because my romanization codes could not process this standalone ㅇ. (But there is no other way to represent this in Hangul...)"
kxlk-nxntakvna,긁는다거나,긍는다거나,kxN.nxn.ta.kv.na,lk-n,Nn,0,1,0,1,0,lC+Sonorant,
palp-nxn,밟는,발른,pal.lxn,lp-n,ll,1,0,0,0,1,lC+Sonorant,
